"neighborhood","bnb_with_more_daily_routine_poi"
"Bedford-Stuyvesant (West) (BK)","210"
"Bedford-Stuyvesant (East) (BK)","164"
"Hell's Kitchen (MN)","153"
"Williamsburg (BK)","129"
"Crown Heights (North) (BK)","126"
"Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK)","92"
"Midtown South-Flatiron-Union Square (MN)","83"
"Bushwick (East) (BK)","81"
"East Harlem (North) (MN)","75"
"Financial District-Battery Park City (MN)","74"
"East Village (MN)","74"
"Harlem (South) (MN)","69"
"Chelsea-Hudson Yards (MN)","69"
"Park Slope (BK)","67"
"Hamilton Heights-Sugar Hill (MN)","66"
"East Williamsburg (BK)","66"
"Lower East Side (MN)","57"
"Clinton Hill (BK)","54"
"Fort Greene (BK)","52"
"Bushwick (West) (BK)","51"
"Chinatown-Two Bridges (MN)","50"
"East Harlem (South) (MN)","49"
"Upper West Side-Manhattan Valley (MN)","48"
"Prospect Lefferts Gardens-Wingate (BK)","44"
"Harlem (North) (MN)","42"
"Sunset Park (West) (BK)","39"
"Murray Hill-Kips Bay (MN)","38"
"Upper West Side (Central) (MN)","35"
"Washington Heights (South) (MN)","34"
"Jackson Heights (QN)","34"
"Astoria (North)-Ditmars-Steinway (QN)","33"
"Ocean Hill (BK)","33"
"Woodside (QN)","33"
"Astoria (Central) (QN)","33"
"Elmhurst (QN)","33"
"Flatbush (West)-Ditmas Park-Parkville (BK)","33"
"Downtown Brooklyn-DUMBO-Boerum Hill (BK)","33"
"Flushing-Willets Point (QN)","31"
"Upper East Side-Lenox Hill-Roosevelt Island (MN)","31"
"Prospect Heights (BK)","31"
"Washington Heights (North) (MN)","30"
"Flatbush (BK)","29"
"Windsor Terrace-South Slope (BK)","29"
"SoHo-Little Italy-Hudson Square (MN)","29"
"Canarsie (BK)","28"
"East New York (North) (BK)","26"
"Greenpoint (BK)","23"
"Manhattanville-West Harlem (MN)","23"
"Queensbridge-Ravenswood-Dutch Kills (QN)","23"
"West Village (MN)","22"
"Queensboro Hill (QN)","22"
"Crown Heights (South) (BK)","21"
"Forest Hills (QN)","21"
"Long Island City-Hunters Point (QN)","20"
"Midtown-Times Square (MN)","20"
"Concourse-Concourse Village (BX)","20"
"East New York-New Lots (BK)","20"
